ftx,1INCH/USD
ftx,AAPL/USD
ftx,AAVE/USD
ftx,AAVE/USDT
ftx,ABNB/USD
ftx,ACB/USD
ftx,AKRO/USD
ftx,AKRO/USDT
ftx,ALCX/USD
ftx,ALPHA/USD
ftx,AMC/USD
ftx,AMD/USD
ftx,AMPL/USD
ftx,AMPL/USDT
ftx,AMZN/USD
ftx,APHA/USD
ftx,ARKK/USD
ftx,ASD/USD
ftx,AUDIO/USD
ftx,AUDIO/USDT
ftx,AXS/USD
ftx,BABA/USD
ftx,BADGER/USD
ftx,BAL/USD
ftx,BAL/USDT
ftx,BAND/USD
ftx,BAO/USD
ftx,BAT/USD
ftx,BB/USD
ftx,BCH/BTC
ftx,BCH/USD
ftx,BCH/USDT
ftx,BILI/USD
ftx,BITW/USD
ftx,BNB/BTC
ftx,BNB/USD
ftx,BNB/USDT
ftx,BNT/USD
ftx,BNTX/USD
ftx,BRZ/USD
ftx,BRZ/USDT
ftx,BTC/BRZ
ftx,BTC/EUR
ftx,BTC/TRYB
ftx,BTC/USD
ftx,BTC/USDT
ftx,BYND/USD
ftx,CAD/USD
ftx,CEL/BTC
ftx,CEL/USD
ftx,CGC/USD
ftx,CHZ/USD
ftx,CHZ/USDT
ftx,CLV/USD
ftx,COIN/USD
ftx,COMP/USD
ftx,COMP/USDT
ftx,CONV/USD
ftx,COPE/USD
ftx,CQT/USD
ftx,CREAM/USD
ftx,CREAM/USDT
ftx,CRO/USD
ftx,CRON/USD
ftx,CRV/USD
ftx,CUSDT/USD
ftx,CUSDT/USDT
ftx,DAI/USD
ftx,DAI/USDT
ftx,DAWN/USD
ftx,DENT/USD
ftx,DKNG/USD
ftx,DMG/USD
ftx,DMG/USDT
ftx,DODO/USD
ftx,DOGE/BTC
ftx,DOGE/USD
ftx,DOGE/USDT
ftx,EMB/USD
ftx,ENJ/USD
ftx,ETH/BRZ
ftx,ETH/BTC
ftx,ETH/EUR
ftx,ETH/USD
ftx,ETH/USDT
ftx,ETHE/USD
ftx,EUR/USD
ftx,FB/USD
ftx,FIDA/USD
ftx,FIDA/USDT
ftx,FRONT/USD
ftx,FRONT/USDT
ftx,FTM/USD
ftx,FTT/BTC
ftx,FTT/USD
ftx,FTT/USDT
ftx,GBP/USD
ftx,GBTC/USD
ftx,GDX/USD
ftx,GDXJ/USD
ftx,GLD/USD
ftx,GLXY/USD
ftx,GME/USD
ftx,GOOGL/USD
ftx,GRT/USD
ftx,GT/USD
ftx,HGET/USD
ftx,HGET/USDT
ftx,HNT/USD
ftx,HNT/USDT
ftx,HOLY/USD
ftx,HOOD/USD
ftx,HT/USD
ftx,HUM/USD
ftx,HXRO/USD
ftx,HXRO/USDT
ftx,JST/USD
ftx,KIN/USD
ftx,KNC/USD
ftx,KNC/USDT
ftx,LEO/USD
ftx,LINA/USD
ftx,LINK/BTC
ftx,LINK/USD
ftx,LINK/USDT
ftx,LRC/USD
ftx,LTC/BTC
ftx,LTC/USD
ftx,LTC/USDT
ftx,LUA/USD
ftx,LUA/USDT
ftx,MAPS/USD
ftx,MAPS/USDT
ftx,MATH/USD
ftx,MATH/USDT
ftx,MATIC/BTC
ftx,MATIC/USD
ftx,MEDIA/USD
ftx,MER/USD
ftx,MKR/USD
ftx,MKR/USDT
ftx,MOB/USD
ftx,MOB/USDT
ftx,MRNA/USD
ftx,MSTR/USD
ftx,MTA/USD
ftx,MTA/USDT
ftx,MTL/USD
ftx,NFLX/USD
ftx,NIO/USD
ftx,NOK/USD
ftx,NVDA/USD
ftx,OKB/USD
ftx,OMG/USD
ftx,ORBS/USD
ftx,OXY/USD
ftx,OXY/USDT
ftx,PAXG/USD
ftx,PAXG/USDT
ftx,PENN/USD
ftx,PERP/USD
ftx,PFE/USD
ftx,PROM/USD
ftx,PUNDIX/USD
ftx,PYPL/USD
ftx,RAMP/USD
ftx,RAY/USD
ftx,REEF/USD
ftx,REN/USD
ftx,ROOK/USD
ftx,ROOK/USDT
ftx,RSR/USD
ftx,RUNE/USD
ftx,RUNE/USDT
ftx,SAND/USD
ftx,SECO/USD
ftx,SGD/USD
ftx,SHIB/USD
ftx,SKL/USD
ftx,SLP/USD
ftx,SLRS/USD
ftx,SLV/USD
ftx,SNX/USD
ftx,SNY/USD
ftx,SOL/BTC
ftx,SOL/USD
ftx,SOL/USDT
ftx,SPY/USD
ftx,SQ/USD
ftx,SRM/USD
ftx,SRM/USDT
ftx,STEP/USD
ftx,STMX/USD
ftx,STORJ/USD
ftx,SUN/USD
ftx,SUSHI/BTC
ftx,SUSHI/USD
ftx,SUSHI/USDT
ftx,SXP/BTC
ftx,SXP/USD
ftx,SXP/USDT
ftx,TLRY/USD
ftx,TOMO/USD
ftx,TOMO/USDT
ftx,TRU/USD
ftx,TRU/USDT
ftx,TRX/BTC
